City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
632,Prado,BR,78.82,clear sky,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
648,Azare,NG,72.32,clear sky,11.6765,10.1948,Muk hostel
649,Tarakan,ID,79.88,moderate rain,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
652,Ribas Do Rio Pardo,BR,79.79,broken clouds,-20.4431,-53.7592,Pousada Avenida
654,Pahrump,US,78.8,clear sky,36.2083,-115.9839,Best Western Pahrump Oasis
655,Pio Xii,BR,74.35,broken clouds,-3.8325,-45.1525,BACURI DOS QUARESMAS
656,Nizwa,OM,78.67,few clouds,22.9333,57.5333,Orient Apartments
664,Remedios,CU,77.0,few clouds,22.4947,-79.5458,Hostal Yunai
668,Cabinda,AO,79.86,broken clouds,-5.55,12.2,"Hotel Executivo , 3 estrelas"
673,Urubicha,BO,75.74,overcast clouds,-15.3833,-62.95,
676,Tombouctou,ML,76.46,scattered clouds,20.0,-3.0,
677,Bireun,ID,77.18,heavy intensity rain,5.202999999999999,96.7009,Hotel Fajar
681,Tshela,CD,74.07,overcast clouds,-4.9833,12.9333,Hotel Mirador
684,Durango,MX,78.49,overcast clouds,24.8333,-104.8333,
690,Ahmadpur,IN,79.03,few clouds,18.7,76.9333,Hengane (Pitashri Niwas)
693,Soubre,CI,73.67,clear sky,5.7856,-6.6083,Lynd Hotels Soubre
697,Galt,US,73.99,clear sky,38.2546,-121.3,Best Western Galt Inn
702,Hobyo,SO,79.48,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
