City_ID,City,Lat,Lng,Max Temp,Humidity,Current Description,Cloudiness,Wind Speed,Country,Date
100,Yerofey Pavlovich,53.9667,121.9667,23.85,74,clear sky,10,2.98,RU,2021-03-30 00:21:13
101,Outjo,-20.1167,16.15,64.27,82,light rain,48,2.86,NA,2021-03-30 00:21:13
102,Santa Cruz,-17.8,-63.1667,69.8,78,broken clouds,66,11.5,BO,2021-03-30 00:16:42
103,Provideniya,64.3833,-173.3,19.4,79,light snow,90,8.95,RU,2021-03-30 00:14:51
104,Zemio,5.0314,25.1361,71.01,34,broken clouds,55,1.77,CF,2021-03-30 00:21:14
105,Katangli,51.7102,143.2326,32.32,99,overcast clouds,100,3.58,RU,2021-03-30 00:21:14
106,Port Macquarie,-31.4333,152.9167,72.0,66,broken clouds,84,1.99,AU,2021-03-30 00:21:14
107,Kapaa,22.0752,-159.319,75.2,78,moderate rain,75,13.8,US,2021-03-30 00:10:50
108,Ostrovnoy,68.0531,39.5131,34.45,96,light snow,100,23.6,RU,2021-03-30 00:21:15
109,Progreso,21.2833,-89.6667,86.0,51,broken clouds,75,8.05,MX,2021-03-30 00:21:15
110,Albany,42.6001,-73.9662,41.0,30,clear sky,2,9.53,US,2021-03-30 00:13:31
111,Ostrowiec Swietokrzyski,50.9294,21.3853,46.99,92,moderate rain,100,1.99,PL,2021-03-30 00:21:16
112,Isangel,-19.55,169.2667,82.4,83,broken clouds,75,6.91,VU,2021-03-30 00:16:29
113,Campana,-34.1687,-58.9591,66.99,70,broken clouds,70,5.3,AR,2021-03-30 00:17:24
114,Najran,17.4924,44.1277,66.2,30,dust,2,1.54,SA,2021-03-30 00:21:17
115,Nikolskoye,59.7035,30.7861,42.8,81,moderate rain,90,11.18,RU,2021-03-30 00:15:15
116,Floro,61.5996,5.0328,42.8,81,light rain,90,20.71,NO,2021-03-30 00:17:34
117,Vestmannaeyjar,63.4427,-20.2734,33.69,65,overcast clouds,100,3.51,IS,2021-03-30 00:15:11
118,Srednekolymsk,67.45,153.6833,10.72,77,broken clouds,67,3.62,RU,2021-03-30 00:21:17
119,Saint-Augustin,51.226,-58.6502,31.98,98,snow,100,23.4,CA,2021-03-30 00:16:10
120,Hilo,19.7297,-155.09,78.8,61,light rain,40,6.91,US,2021-03-30 00:15:07
121,Chuy,-33.6971,-53.4616,67.37,81,scattered clouds,44,14.63,UY,2021-03-30 00:14:57
122,Port Alfred,-33.5906,26.891,68.27,89,overcast clouds,92,21.77,ZA,2021-03-30 00:14:44
123,San Patricio,28.017,-97.5169,64.99,77,overcast clouds,90,12.66,US,2021-03-30 00:15:40
124,Shirakamut,40.8606,44.1528,24.8,68,scattered clouds,31,1.63,AM,2021-03-30 00:21:19
125,Ambon,-3.6954,128.1814,86.0,74,few clouds,20,3.44,ID,2021-03-30 00:16:37
126,Tura,25.5198,90.2201,66.67,76,scattered clouds,27,6.4,IN,2021-03-30 00:14:54
127,Santa Cruz De Tenerife,28.4682,-16.2546,63.0,82,broken clouds,75,9.22,ES,2021-03-30 00:21:19
128,Oda,35.1833,132.5,60.8,55,broken clouds,75,2.3,JP,2021-03-30 00:21:20
129,Baykit,61.67,96.37,7.21,98,broken clouds,82,0.51,RU,2021-03-30 00:21:20
130,Lagoa,39.05,-27.9833,58.57,80,overcast clouds,100,12.01,PT,2021-03-30 00:21:21
131,Kysyl-Syr,63.8986,122.7617,15.93,96,overcast clouds,95,2.86,RU,2021-03-30 00:21:21
132,Kilindoni,-7.9139,39.6668,81.72,76,moderate rain,40,12.93,TZ,2021-03-30 00:21:21
133,Ortona,42.3496,14.4039,53.01,87,scattered clouds,26,4.61,IT,2021-03-30 00:21:22
134,Keningau,5.3378,116.1602,80.6,89,few clouds,20,2.3,MY,2021-03-30 00:21:22
135,Cape Town,-33.9258,18.4232,64.0,88,broken clouds,75,10.36,ZA,2021-03-30 00:13:29
136,Mahebourg,-20.4081,57.7,73.4,94,few clouds,20,8.05,MU,2021-03-30 00:15:49
137,Dulovo,43.8167,27.15,46.99,39,scattered clouds,46,5.99,BG,2021-03-30 00:21:23
138,Marsh Harbour,26.5412,-77.0636,76.64,74,overcast clouds,99,6.71,BS,2021-03-30 00:16:54
139,High Level,58.5169,-117.136,12.2,62,few clouds,20,9.22,CA,2021-03-30 00:19:29
140,Bathsheba,13.2167,-59.5167,77.0,73,scattered clouds,40,20.71,BB,2021-03-30 00:18:13
141,Nantucket,41.2835,-70.0995,44.6,65,clear sky,1,10.36,US,2021-03-30 00:17:08
142,Las Vegas,36.175,-115.1372,84.2,6,clear sky,1,3.44,US,2021-03-30 00:19:10
143,Jati,24.3539,68.2671,76.73,80,broken clouds,69,15.57,PK,2021-03-30 00:21:24
144,Saldanha,-33.0117,17.9442,64.4,88,clear sky,4,3.44,ZA,2021-03-30 00:17:37
145,Faanui,-16.4833,-151.75,82.35,72,light rain,67,15.43,PF,2021-03-30 00:15:53
146,Cockburn Town,21.4612,-71.1419,77.52,82,clear sky,0,22.26,TC,2021-03-30 00:15:26
147,Coquimbo,-29.9533,-71.3436,57.2,88,clear sky,0,5.75,CL,2021-03-30 00:21:25
148,Namibe,-15.1961,12.1522,75.33,81,light rain,89,3.31,AO,2021-03-30 00:20:00
149,Santa Fe,-31.6333,-60.7,72.0,75,overcast clouds,98,5.12,AR,2021-03-30 00:20:59
150,Shiyan,32.6475,110.7781,57.9,54,overcast clouds,100,6.42,CN,2021-03-30 00:21:25
151,Porto Novo,6.4965,2.6036,84.2,84,scattered clouds,40,9.22,BJ,2021-03-30 00:21:26
152,Korla,41.7597,86.1469,41.29,87,overcast clouds,100,18.25,CN,2021-03-30 00:16:20
153,Muromtsevo,56.3724,75.2418,10.27,96,overcast clouds,99,6.44,RU,2021-03-30 00:21:27
154,Saskylakh,71.9167,114.0833,-17.55,98,overcast clouds,99,6.53,RU,2021-03-30 00:12:14
155,Saint-Pierre,-21.3393,55.4781,77.0,73,clear sky,0,5.75,RE,2021-03-30 00:18:21
156,Butaritari,3.0707,172.7902,81.32,79,scattered clouds,34,15.59,KI,2021-03-30 00:14:30
157,Basco,20.4487,121.9702,80.62,80,broken clouds,60,11.88,PH,2021-03-30 00:21:28
158,Lompoc,34.6391,-120.4579,60.01,63,clear sky,0,17.27,US,2021-03-30 00:15:49
159,Mayo,38.8876,-76.5119,53.6,40,clear sky,1,5.37,US,2021-03-30 00:21:28
160,Sao Joao Da Barra,-21.6403,-41.0511,77.41,90,broken clouds,77,5.68,BR,2021-03-30 00:21:14
161,Tiksi,71.6872,128.8694,6.49,93,overcast clouds,100,4.25,RU,2021-03-30 00:15:36
162,Waki,34.0667,134.15,62.6,72,few clouds,20,6.91,JP,2021-03-30 00:21:29
163,Sirari,-1.2333,34.4333,61.18,91,light rain,100,4.97,TZ,2021-03-30 00:21:29
164,Pyshma,56.9523,63.2513,13.32,97,scattered clouds,30,2.95,RU,2021-03-30 00:21:30
165,Gushikawa,26.3544,127.8686,73.4,94,overcast clouds,90,3.44,JP,2021-03-30 00:21:30
166,Port Lincoln,-34.7333,135.8667,69.94,65,clear sky,1,5.41,AU,2021-03-30 00:21:30
167,Touros,-5.1989,-35.4608,78.8,89,scattered clouds,40,5.75,BR,2021-03-30 00:14:52
168,Maceio,-9.6658,-35.7353,77.0,94,scattered clouds,40,3.44,BR,2021-03-30 00:18:22
169,San Jeronimo,-11.9472,-75.2829,50.23,80,overcast clouds,100,2.44,PE,2021-03-30 00:21:31
170,Marienburg,54.0359,19.0266,51.01,85,overcast clouds,100,7.43,PL,2021-03-30 00:21:32
171,Christiana,-27.914,25.1611,61.32,45,clear sky,1,6.31,ZA,2021-03-30 00:21:32
172,Morro Bay,35.3658,-120.8499,73.99,78,clear sky,5,11.99,US,2021-03-30 00:21:32
173,Vestmanna,62.1564,-7.1664,37.4,81,broken clouds,75,5.01,FO,2021-03-30 00:21:33
174,Mohanur,11.0833,78.1667,78.8,89,mist,20,3.44,IN,2021-03-30 00:21:33
175,Hamilton,39.1834,-84.5333,54.0,37,clear sky,1,9.22,US,2021-03-30 00:13:08
176,Svetlogorsk,52.6333,29.7333,38.21,84,overcast clouds,96,6.13,BY,2021-03-30 00:21:34
177,Mugur-Aksy,50.35,90.5,12.74,73,clear sky,7,5.44,RU,2021-03-30 00:21:34
178,Jalu,29.0331,21.5482,56.25,48,scattered clouds,38,8.77,LY,2021-03-30 00:19:45
179,Banjar,-8.19,114.9675,80.6,94,scattered clouds,40,2.3,ID,2021-03-30 00:18:58
180,Louviers,49.2167,1.1667,46.4,66,clear sky,0,6.91,FR,2021-03-30 00:21:35
181,Sogne,58.0833,7.8167,48.2,87,overcast clouds,90,10.36,NO,2021-03-30 00:21:35
182,Axim,4.8699,-2.2405,78.87,88,clear sky,0,6.82,GH,2021-03-30 00:21:35
183,Alekseyevsk,57.8406,108.3492,31.75,93,overcast clouds,100,5.17,RU,2021-03-30 00:21:36
184,Namatanai,-3.6667,152.4333,85.48,65,overcast clouds,96,5.82,PG,2021-03-30 00:19:13
185,Chokurdakh,70.6333,147.9167,-0.62,97,overcast clouds,97,4.85,RU,2021-03-30 00:15:22
186,Kiruna,67.8557,20.2251,32.0,86,overcast clouds,90,14.97,SE,2021-03-30 00:16:18
187,Vardo,70.3705,31.1107,34.84,82,overcast clouds,90,9.78,NO,2021-03-30 00:20:21
188,Kodiak,57.79,-152.4072,46.4,61,scattered clouds,40,11.5,US,2021-03-30 00:17:37
189,General Roca,-39.0333,-67.5833,73.4,28,clear sky,0,4.61,AR,2021-03-30 00:21:36
190,Bestobe,52.4994,73.0975,8.13,95,few clouds,11,9.24,KZ,2021-03-30 00:21:37
191,Murighiol,45.0333,29.1667,41.0,87,overcast clouds,91,13.8,RO,2021-03-30 00:21:37
192,Ambikapur,23.1167,83.2,70.9,18,broken clouds,54,5.17,IN,2021-03-30 00:21:38
